Kategori: Tüm kategoriler

Hafta,dolar kuru: (Türkiye)
2020-12-27,6
2021-01-03,6
2021-01-10,5
2021-01-17,5
2021-01-24,4
2021-01-31,6
2021-02-07,5
2021-02-14,6
2021-02-21,7
2021-02-28,7
2021-03-07,7
2021-03-14,6
2021-03-21,26
2021-03-28,14
2021-04-04,8
2021-04-11,7
2021-04-18,8
2021-04-25,7
2021-05-02,5
2021-05-09,5
2021-05-16,6
2021-05-23,6
2021-05-30,8
2021-06-06,6
2021-06-13,7
2021-06-20,7
2021-06-27,5
2021-07-04,5
2021-07-11,5
2021-07-18,4
2021-07-25,4
2021-08-01,6
2021-08-08,5
2021-08-15,5
2021-08-22,5
2021-08-29,5
2021-09-05,6
2021-09-12,5
2021-09-19,8
2021-09-26,8
2021-10-03,7
2021-10-10,13
2021-10-17,16
2021-10-24,14
2021-10-31,10
2021-11-07,14
2021-11-14,29
2021-11-21,44
2021-11-28,34
2021-12-05,24
2021-12-12,47
2021-12-19,100
2021-12-26,56
2022-01-02,36
2022-01-09,23
2022-01-16,19
2022-01-23,16
2022-01-30,16
2022-02-06,14
2022-02-13,13
2022-02-20,24
2022-02-27,20
2022-03-06,21
2022-03-13,17
2022-03-20,13
2022-03-27,13
2022-04-03,11
2022-04-10,10
2022-04-17,9
2022-04-24,10
2022-05-01,11
2022-05-08,19
2022-05-15,20
2022-05-22,24
2022-05-29,18
2022-06-05,28
2022-06-12,20
2022-06-19,18
2022-06-26,21
2022-07-03,17
2022-07-10,17
2022-07-17,17
2022-07-24,17
2022-07-31,14
2022-08-07,11
2022-08-14,14
2022-08-21,14
2022-08-28,13
2022-09-04,11
2022-09-11,11
2022-09-18,14
2022-09-25,15
2022-10-02,13
2022-10-09,11
2022-10-16,10
2022-10-23,9
2022-10-30,9
2022-11-06,10
2022-11-13,9
2022-11-20,8
2022-11-27,7
2022-12-04,7
2022-12-11,7
2022-12-18,7
2022-12-25,8
2023-01-01,8
2023-01-08,7
2023-01-15,7
2023-01-22,6
2023-01-29,6
2023-02-05,4
2023-02-12,5
2023-02-19,5
2023-02-26,5
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,7
2023-04-02,8
2023-04-09,7
2023-04-16,8
2023-04-23,8
2023-04-30,7
2023-05-07,10
2023-05-14,11
2023-05-21,11
2023-05-28,22
2023-06-04,36
2023-06-11,21
2023-06-18,27
2023-06-25,21
2023-07-02,20
2023-07-09,16
2023-07-16,23
2023-07-23,15
2023-07-30,13
2023-08-06,12
2023-08-13,11
2023-08-20,20
2023-08-27,13
2023-09-03,11
2023-09-10,11
2023-09-17,12
2023-09-24,11
2023-10-01,11
2023-10-08,11
2023-10-15,12
2023-10-22,11
2023-10-29,17
2023-11-05,10
2023-11-12,8
2023-11-19,9
2023-11-26,8
2023-12-03,7
2023-12-10,8
2023-12-17,7
2023-12-24,8
2023-12-31,8
