Kategori: Tüm kategoriler

Hafta,enflasyon oranları: (Türkiye)
2020-12-27,15
2021-01-03,31
2021-01-10,7
2021-01-17,9
2021-01-24,10
2021-01-31,16
2021-02-07,6
2021-02-14,7
2021-02-21,6
2021-02-28,14
2021-03-07,5
2021-03-14,5
2021-03-21,9
2021-03-28,9
2021-04-04,26
2021-04-11,11
2021-04-18,2
2021-04-25,8
2021-05-02,34
2021-05-09,5
2021-05-16,7
2021-05-23,8
2021-05-30,31
2021-06-06,12
2021-06-13,6
2021-06-20,5
2021-06-27,12
2021-07-04,25
2021-07-11,6
2021-07-18,0
2021-07-25,6
2021-08-01,28
2021-08-08,11
2021-08-15,7
2021-08-22,13
2021-08-29,19
2021-09-05,13
2021-09-12,7
2021-09-19,8
2021-09-26,12
2021-10-03,30
2021-10-10,11
2021-10-17,14
2021-10-24,17
2021-10-31,49
2021-11-07,12
2021-11-14,19
2021-11-21,17
2021-11-28,50
2021-12-05,22
2021-12-12,22
2021-12-19,16
2021-12-26,20
2022-01-02,82
2022-01-09,22
2022-01-16,15
2022-01-23,18
2022-01-30,43
2022-02-06,19
2022-02-13,16
2022-02-20,9
2022-02-27,35
2022-03-06,18
2022-03-13,12
2022-03-20,16
2022-03-27,28
2022-04-03,81
2022-04-10,16
2022-04-17,18
2022-04-24,16
2022-05-01,100
2022-05-08,32
2022-05-15,21
2022-05-22,26
2022-05-29,72
2022-06-05,28
2022-06-12,23
2022-06-19,23
2022-06-26,21
2022-07-03,53
2022-07-10,14
2022-07-17,13
2022-07-24,12
2022-07-31,35
2022-08-07,18
2022-08-14,14
2022-08-21,12
2022-08-28,16
2022-09-04,43
2022-09-11,14
2022-09-18,14
2022-09-25,19
2022-10-02,58
2022-10-09,18
2022-10-16,18
2022-10-23,18
2022-10-30,65
2022-11-06,18
2022-11-13,16
2022-11-20,15
2022-11-27,24
2022-12-04,57
2022-12-11,18
2022-12-18,27
2022-12-25,19
2023-01-01,49
2023-01-08,12
2023-01-15,11
2023-01-22,12
2023-01-29,27
2023-02-05,6
2023-02-12,6
2023-02-19,7
2023-02-26,27
2023-03-05,13
2023-03-12,14
2023-03-19,11
2023-03-26,12
2023-04-02,33
2023-04-09,13
2023-04-16,11
2023-04-23,14
2023-04-30,42
2023-05-07,10
2023-05-14,12
2023-05-21,12
2023-05-28,16
2023-06-04,30
2023-06-11,14
2023-06-18,16
2023-06-25,10
2023-07-02,43
2023-07-09,13
2023-07-16,10
2023-07-23,12
2023-07-30,31
2023-08-06,9
2023-08-13,12
2023-08-20,10
2023-08-27,18
2023-09-03,50
2023-09-10,17
2023-09-17,11
2023-09-24,11
2023-10-01,45
2023-10-08,10
2023-10-15,10
2023-10-22,14
2023-10-29,59
2023-11-05,16
2023-11-12,17
2023-11-19,14
2023-11-26,20
2023-12-03,49
2023-12-10,16
2023-12-17,13
2023-12-24,27
2023-12-31,64
